"","x"
"1",1393.70899173904
"2",1393.31798347808
"3",1392.92697521712
"4",1392.53596695616
"5",1392.1449586952
"6",1391.75395043424
"7",1391.36294217328
"8",1390.97193391232
"9",1390.58092565136
"10",1390.1899173904
"11",1389.79890912944
"12",1389.40790086848
"13",1389.01689260752
"14",1388.62588434656
"15",1388.2348760856
"16",1387.84386782464
"17",1387.45285956368
"18",1387.06185130272
"19",1386.67084304176
"20",1386.2798347808
"21",1385.88882651984
"22",1385.49781825888
"23",1385.10680999792
"24",1384.71580173696
"25",1384.324793476
"26",1383.93378521504
"27",1383.54277695408
"28",1383.15176869312
"29",1382.76076043216
"30",1382.3697521712
"31",1381.97874391024
"32",1381.58773564928
"33",1381.19672738832
"34",1380.80571912736
"35",1380.4147108664
"36",1380.02370260544
"37",1379.63269434448
"38",1379.24168608352
"39",1378.85067782256
"40",1378.45966956159
"41",1378.06866130063
"42",1377.67765303967
"43",1377.28664477871
"44",1376.89563651775
"45",1376.50462825679
"46",1376.11361999583
"47",1375.72261173487
"48",1375.33160347391
"49",1374.94059521295
"50",1374.54958695199
"51",1374.15857869103
"52",1373.76757043007
"53",1373.37656216911
"54",1372.98555390815
"55",1372.59454564719
"56",1372.20353738623
"57",1371.81252912527
"58",1371.42152086431
"59",1371.03051260335
"60",1370.63950434239
"61",1370.24849608143
"62",1369.85748782047
"63",1369.46647955951
"64",1369.07547129855
"65",1368.68446303759
