Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
22-02-2017,1415,1415,1391.8,1396.5,1394.1,2494083,34921.23
21-02-2017,1393.1,1414,1389.85,1413,1412.45,734159,10300.63
20-02-2017,1401.55,1402.85,1386,1393,1393.3,1470475,20474.21
17-02-2017,1425,1432.65,1400.2,1404.75,1402.5,2075335,29336.9
16-02-2017,1394.15,1403,1386.25,1393.9,1393.55,2017252,28125.74
15-02-2017,1399.9,1409.8,1389.5,1399,1399.15,2323380,32506.34
14-02-2017,1398,1403.65,1388.05,1399,1398.15,1564027,21832.88
13-02-2017,1398.4,1398.4,1372.6,1395.45,1392.05,1638938,22684.81
10-02-2017,1408,1410,1382.8,1393,1388.55,1637560,22807.99
09-02-2017,1402,1421.2,1385.65,1402,1396.9,2389616,33444.07
08-02-2017,1410,1410,1383.8,1399,1401.1,2263272,31635.99
07-02-2017,1399.6,1410,1388.4,1407,1407.25,2731391,38344.77
06-02-2017,1402,1411.85,1388.6,1397.7,1400.3,2029593,28409.06
03-02-2017,1401.5,1408,1385.6,1395,1397.45,2144208,29952.83
02-02-2017,1411,1411,1385.7,1404,1401.3,2336054,32611.51
01-02-2017,1370,1417.45,1369.65,1411,1412.1,2637813,36863.48
31-01-2017,1371.45,1388.2,1353,1365,1365.85,2588181,35443.63
30-01-2017,1370.4,1379.4,1360,1371.45,1371.9,2427494,33298.22
27-01-2017,1329.15,1379,1329.15,1366.5,1373.7,4017493,54794.54
25-01-2017,1284,1341.45,1279.7,1328.8,1337.4,5273331,69489.86
24-01-2017,1263.1,1282,1260,1277.1,1280.75,1937436,24724.36
23-01-2017,1234.7,1262,1232,1262,1259.75,2265524,28394.24
20-01-2017,1236.15,1245,1230.6,1236.65,1237.3,1408933,17431.92
19-01-2017,1251.7,1251.7,1232.9,1243.15,1242.4,1599732,19877.32
18-01-2017,1246.3,1260.95,1245.65,1247,1249.05,1491317,18666.08
17-01-2017,1258.35,1261,1234.95,1246.85,1245.8,1185487,14761.65
16-01-2017,1245.1,1264,1240.25,1258,1256.9,1694061,21272.92
13-01-2017,1224.95,1250.6,1222.15,1246,1247.5,2131709,26511.56
12-01-2017,1234,1242.95,1217.6,1219.2,1221.1,1477834,18136.89
11-01-2017,1224.7,1233,1218.2,1228,1230.05,1353730,16606.64
10-01-2017,1225,1227.95,1213.05,1218,1217.25,2669824,32559.59
09-01-2017,1225,1229,1212.6,1221.5,1223.55,2016528,24638.94
06-01-2017,1219,1232,1218.8,1223,1222.35,2774461,34007.85
05-01-2017,1215.7,1220.4,1205.1,1215,1217.2,3339784,40540.09
04-01-2017,1215.8,1224.5,1197.25,1215,1212.1,2805972,34024.33
03-01-2017,1218.7,1222.6,1200.5,1212.1,1214,3203369,38894.71
02-01-2017,1272,1272,1213.7,1216.95,1217.1,2369360,29013.33
30-12-2016,1263.35,1269.75,1249.5,1261.4,1262.6,1388842,17534.63
29-12-2016,1234.7,1261.55,1229.9,1257.85,1257.2,2005422,25059.43
28-12-2016,1238.9,1248.05,1222.9,1235,1237.95,2032787,25145.92
27-12-2016,1221.9,1237,1211.45,1235.7,1232.15,872827,10653.89
26-12-2016,1220,1224.25,1206,1221.9,1219.5,747342,9090.44
23-12-2016,1217.4,1232.3,1208.25,1224,1224.85,1560501,19110.57
22-12-2016,1234.8,1237.85,1213.25,1219,1217.4,2238703,27299.7
21-12-2016,1242,1256.95,1230.25,1233.35,1235.6,3217980,40126.45
20-12-2016,1245.9,1255.9,1227.8,1239,1235.55,1935652,24004.4
19-12-2016,1263,1263.9,1242.65,1243.65,1247.9,1279508,16054.86
16-12-2016,1262,1278,1262,1266.55,1269.15,2775322,35288.47
15-12-2016,1262,1277.4,1255.25,1261.55,1259.2,1731691,21895.7
14-12-2016,1279,1279,1257,1271.75,1266.55,1628885,20619.8
13-12-2016,1269.4,1281.5,1250,1275.05,1278.55,1656438,21023.81
12-12-2016,1266.9,1278,1254.15,1261,1264.5,1219745,15412.47
09-12-2016,1287,1289.7,1260,1273,1268.25,2333398,29607.42
08-12-2016,1270.5,1295,1270.5,1284.7,1289.85,2704208,34752.08
07-12-2016,1246.4,1283.45,1246,1265.25,1264.95,4418144,55883.99
06-12-2016,1218.05,1259.8,1218.05,1240.6,1243.4,2799494,34912.24
05-12-2016,1236.8,1239.95,1183.15,1218.95,1215.55,5623284,67938.67
02-12-2016,1260.4,1260.5,1233,1237.05,1236.8,2832229,35199.77
01-12-2016,1268.4,1285.75,1259.2,1267.2,1270,2474051,31539.33
30-11-2016,1254.2,1272.1,1237.55,1265,1263.1,4722267,59394.15
29-11-2016,1241.6,1284.95,1241.6,1252,1255.8,3448317,43768.31
28-11-2016,1236.1,1252,1234,1241.1,1246.7,2670157,33167.44
25-11-2016,1227,1257.15,1210.2,1251,1244.05,3185195,39065.93
24-11-2016,1217.1,1229.85,1212.1,1219.95,1217.65,3969055,48408.65
23-11-2016,1250,1255,1205,1230.1,1226.9,3248078,39689.17
22-11-2016,1230,1252.5,1225.8,1249.55,1249.7,2649077,32883.11
21-11-2016,1250,1250,1213.75,1223.1,1221.95,2648780,32603.23
18-11-2016,1250.2,1261.65,1243.4,1250.05,1249.8,2742765,34367.13
17-11-2016,1260,1270.55,1238.1,1248.1,1250.2,2462361,30830.8
16-11-2016,1237.7,1265.45,1221.8,1253,1255.4,4265216,52975.23
15-11-2016,1258,1258,1201,1216.05,1225.75,6489223,79432.76
11-11-2016,1310,1311.4,1263.25,1266,1268.35,3340486,42794.34
10-11-2016,1361,1364.55,1311,1317.55,1324.55,3981742,53227.95
09-11-2016,1335.55,1362.1,1310,1354.5,1350.8,4422950,59047.52
08-11-2016,1381.4,1394.6,1366.1,1393.7,1391.35,1611902,22256.01
07-11-2016,1401.35,1401.95,1373.35,1375.85,1381.4,2013931,27848.97
04-11-2016,1408,1408,1377.55,1387.3,1386.15,1818296,25286.64
03-11-2016,1400.9,1411.45,1395.7,1404.9,1401.6,1447474,20311.33
02-11-2016,1400,1408.95,1392.25,1406.85,1404.35,1717505,24077.66
01-11-2016,1382.6,1431.75,1377,1416,1417.2,4195608,59365.69
30-10-2016,1398,1398,1375,1377,1377.5,110205,1522
28-10-2016,1374.7,1393,1362.4,1388,1391.7,2929858,40467.16
27-10-2016,1336.1,1383,1328.6,1370.1,1378.55,3054221,41665.44
26-10-2016,1336.6,1343.95,1319,1336,1334.65,1797435,23910.94
25-10-2016,1344.8,1349.25,1327.5,1338,1340.1,1051311,14082.44
24-10-2016,1341.35,1350,1333.05,1345,1344,923522,12394.74
21-10-2016,1361.45,1361.45,1331.05,1339,1336.55,3175886,42461.09
20-10-2016,1348,1368,1345.3,1360,1359.95,1708024,23237.13
19-10-2016,1358.9,1359.25,1336.15,1339.65,1342.15,1840483,24724.02
18-10-2016,1307,1357.7,1306.55,1355,1355.25,2217709,29715.64
17-10-2016,1321.95,1322.95,1297.15,1304,1301.95,2134599,27859.28
14-10-2016,1340.8,1342,1312.9,1320,1316.05,3014689,39918.22
13-10-2016,1385,1400,1335.05,1336.5,1338.9,3233878,43651.12
10-10-2016,1408,1412,1386.15,1394.5,1391.45,966179,13451.62
07-10-2016,1426,1426,1398.4,1400.1,1403.7,1275355,17932.1
06-10-2016,1425.2,1433.9,1418.2,1423,1426,1367425,19494.88
05-10-2016,1435,1437.35,1414.35,1423,1423.15,1127576,16042.14
04-10-2016,1423.25,1435.2,1416.1,1432,1432.4,2188072,31212.67
03-10-2016,1401,1430.2,1386,1424.3,1425.5,1189432,16803.64
30-09-2016,1396.9,1399.2,1381.8,1394.95,1393.45,2719424,37778.02
29-09-2016,1428.5,1432.95,1392.6,1402.15,1401.4,3386269,47589.33
28-09-2016,1418.1,1432,1417.15,1420.8,1423.55,1322605,18847.23
27-09-2016,1415.7,1423,1406,1420,1418.9,1288154,18248.33
26-09-2016,1417.3,1424.2,1403.1,1414,1412.45,1999367,28167.16
23-09-2016,1418,1427.2,1412,1424,1425.1,1369990,19467.47
22-09-2016,1405.9,1419.4,1402,1415,1413.25,2777234,39193.55
21-09-2016,1392.35,1406,1388.55,1392.55,1392.35,2262794,31611.15
20-09-2016,1390,1396,1382.25,1394.9,1393.1,2123466,29507.6
19-09-2016,1399.9,1401,1386,1394.7,1392.8,1515698,21089.04
16-09-2016,1416.7,1417,1393,1394,1397.35,5047304,70785.9
15-09-2016,1393.1,1412.5,1390.4,1408.55,1410.05,1519406,21283.14
14-09-2016,1391.05,1397.9,1378.5,1395,1392.2,2442783,33892.23
12-09-2016,1390,1410,1373.7,1398,1399.05,2322859,32415.04
09-09-2016,1442,1442,1396.55,1412.55,1410.65,3028457,42638.89
08-09-2016,1432.75,1442.8,1428.1,1437,1437.8,1135659,16302.91
07-09-2016,1464,1464,1416.25,1433.25,1427.15,2282112,32652.28
06-09-2016,1453,1462,1442,1460,1458.05,2249067,32659.82
02-09-2016,1426.5,1441.95,1421.05,1439.35,1439.15,2435712,34984.56
01-09-2016,1412,1430,1405.3,1425.9,1424.75,2336511,33164.36
31-08-2016,1390.1,1414,1390,1409.85,1405.45,5712564,80119.5
30-08-2016,1379.9,1394.25,1373.6,1390.5,1392.1,2039705,28250.75
